transmission:vector(camStationId) World.node[0].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[0].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[1].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[1].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[1].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[1].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[0].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[0].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[2].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[2].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[2].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[2].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[3].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[3].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[3].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[3].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[4].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[4].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[4].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[4].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[5].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[5].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[5].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[5].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[6].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[6].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[6].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[6].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[7].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[7].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[7].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[7].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camStationId) World.node[8].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,reception:vector(camGenerationDeltaTime) World.node[8].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camStationId) World.node[8].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),,transmission:vector(camGenerationDeltaTime) World.node[8].middleware.CaService (#0 - inet-0-20230514-20:21:44-10596),
1.159284461639,16,1.159284461639,8456,3.019765805678,16,3.019765805678,9456,3.133739616163,87,3.133739616163,10456,3.134221421841,87,3.134221421841,10456,5.053947960304,87,5.053947960304,12456,5.109928035154,158,5.109928035154,12456,7.030137289999,158,7.030137289999,14456,7.156660144846,229,7.156660144846,14456,9.01013609736,158,9.01013609736,16456,9.196896176599,300,9.196896176599,16456,11.010409713017,158,11.010409713017,18456,11.174383454234,371,11.174383454234,18456,14.010409578303,158,14.010409578303,21456,14.169562544627,442,14.169562544627,21456,16.030163184211,158,16.030163184211,23456,16.199034500611,513,16.199034500611,23456,18.010137280564,158,18.010137280564,25456,18.108949454408,584,18.108949454408,25456
1.359284461639,16,1.359284461639,8456,3.079493805678,16,3.079493805678,10456,3.333739616163,87,3.333739616163,10456,3.333949421841,87,3.333949421841,10456,5.11949345149,16,5.11949345149,12456,5.309928035154,158,5.309928035154,12456,7.03394802083,87,7.03394802083,14456,7.356660144846,229,7.356660144846,14456,9.017141255697,229,9.017141255697,15456,9.396896176599,300,9.396896176599,16456,11.053948153372,87,11.053948153372,18456,11.374383454234,371,11.374383454234,18456,14.053948117286,87,14.053948117286,21456,14.369562544627,442,14.369562544627,21456,16.033948275877,87,16.033948275877,23456,16.399034500611,513,16.399034500611,23456,18.017140909973,229,18.017140909973,24456,18.308949454408,584,18.308949454408,25456
1.559284461639,16,1.559284461639,8456,3.199493805678,16,3.199493805678,10456,3.533739616163,87,3.533739616163,10456,3.533949421841,87,3.533949421841,10456,5.173947960304,87,5.173947960304,12456,5.509928035154,158,5.509928035154,12456,7.119765582292,16,7.119765582292,14456,7.556660144846,229,7.556660144846,14456,9.019765334247,16,9.019765334247,15456,9.596896176599,300,9.596896176599,16456,11.057612135133,300,11.057612135133,17456,11.574383454234,371,11.574383454234,18456,14.057559915763,300,14.057559915763,20456,14.569562544627,442,14.569562544627,21456,16.034864554383,371,16.034864554383,22456,16.599034500611,513,16.599034500611,23456,18.019764474468,16,18.019764474468,24456,18.508949454408,584,18.508949454408,25456
1.759284461639,16,1.759284461639,8456,3.319493805678,16,3.319493805678,10456,3.733739616163,87,3.733739616163,10456,3.734221421841,87,3.734221421841,10456,5.293947960304,87,5.293947960304,12456,5.709928035154,158,5.709928035154,12456,7.150137289999,158,7.150137289999,14456,7.756660144846,229,7.756660144846,14456,9.034220476774,87,9.034220476774,16456,9.796896176599,300,9.796896176599,16456,11.116868893114,229,11.116868893114,18456,11.774383454234,371,11.774383454234,18456,14.11686881581,229,14.11686881581,21456,14.769562544627,442,14.769562544627,21456,16.089771614877,442,16.089771614877,23456,16.799034500611,513,16.799034500611,23456,18.034220640131,87,18.034220640131,25456,18.708949454408,584,18.708949454408,25456
2.059284461639,16,2.059284461639,9456,3.379493805678,16,3.379493805678,10456,4.033739616163,87,4.033739616163,11456,4.033949333465,87,4.033949333465,11456,5.353947960304,87,5.353947960304,12456,6.009928035154,158,6.009928035154,13456,7.270137289999,158,7.270137289999,14456,8.056660144846,229,8.056660144846,15456,9.076869255697,229,9.076869255697,16456,10.096896176599,300,10.096896176599,17456,11.117305990287,300,11.117305990287,18456,12.074383454234,371,12.074383454234,19456,14.117266770917,300,14.117266770917,21456,15.069562544627,442,15.069562544627,22456,16.094592554383,371,16.094592554383,23456,17.099034500611,513,17.099034500611,24456,18.06977128063,442,18.06977128063,25456,19.008949454408,584,19.008949454408,26456
2.359284461639,16,2.359284461639,9456,4.119765717302,16,4.119765717302,11456,4.333739616163,87,4.333739616163,11456,4.334221333465,87,4.334221333465,11456,5.41976545149,16,5.41976545149,12456,6.309928035154,158,6.309928035154,13456,7.330137289999,158,7.330137289999,14456,8.356660144846,229,8.356660144846,15456,9.079493334247,16,9.079493334247,16456,10.396896176599,300,10.396896176599,17456,11.119493003746,16,11.119493003746,18456,12.374383454234,371,12.374383454234,19456,14.119492922661,16,14.119492922661,21456,15.369562544627,442,15.369562544627,22456,16.117140859947,229,16.117140859947,23456,17.399034500611,513,17.399034500611,24456,18.076868909973,229,18.076868909973,25456,19.308949454408,584,19.308949454408,26456
2.659284461639,16,2.659284461639,9456,4.819765717302,16,4.819765717302,11456,4.633739616163,87,4.633739616163,11456,4.633949333465,87,4.633949333465,11456,5.71949345149,16,5.71949345149,12456,6.609928035154,158,6.609928035154,13456,7.33422002083,87,7.33422002083,14456,8.656660144846,229,8.656660144846,15456,9.196869255697,229,9.196869255697,16456,10.696896176599,300,10.696896176599,17456,11.173948153372,87,11.173948153372,18456,12.674383454234,371,12.674383454234,19456,14.13486304602,371,14.13486304602,21456,15.669562544627,442,15.669562544627,22456,16.119765392271,16,16.119765392271,23456,17.699034500611,513,17.699034500611,24456,18.079492474468,16,18.079492474468,25456,,,,
2.959284461639,16,2.959284461639,9456,5.110408995458,158,5.110408995458,12456,4.933739616163,87,4.933739616163,11456,4.934221333465,87,4.934221333465,11456,6.019765416629,16,6.019765416629,12456,6.909928035154,158,6.909928035154,13456,7.63394802083,87,7.63394802083,14456,8.956660144846,229,8.956660144846,15456,9.199493334247,16,9.199493334247,16456,10.996896176599,300,10.996896176599,17456,11.237105794647,300,11.237105794647,18456,12.974383454234,371,12.974383454234,19456,14.173948117286,87,14.173948117286,21456,15.969562544627,442,15.969562544627,22456,16.150228184211,158,16.150228184211,23456,17.999034500611,513,17.999034500611,24456,18.119243685866,513,18.119243685866,25456,,,,
3.059284461639,16,3.059284461639,10456,5.119493629547,16,5.119493629547,12456,5.033739616163,87,5.033739616163,12456,5.053948629547,87,5.053948629547,12456,6.03422054442,87,6.03422054442,13456,7.009928035154,158,7.009928035154,14456,7.819765582292,16,7.819765582292,14456,9.056660144846,229,9.056660144846,16456,9.31040809736,158,9.31040809736,16456,11.096896176599,300,11.096896176599,18456,11.293948153372,87,11.293948153372,18456,13.074383454234,371,13.074383454234,20456,14.237105709821,300,14.237105709821,21456,16.069562544627,442,16.069562544627,23456,16.157104728135,300,16.157104728135,23456,18.099034500611,513,18.099034500611,25456,18.134591708288,371,18.134591708288,25456,,,,
3.159284461639,16,3.159284461639,10456,5.310136995458,158,5.310136995458,12456,5.133739616163,87,5.133739616163,12456,5.110409486644,158,5.110409486644,12456,6.079493416629,16,6.079493416629,13456,7.109928035154,158,7.109928035154,14456,7.93422002083,87,7.93422002083,14456,9.156660144846,229,9.156660144846,16456,9.316869255697,229,9.316869255697,16456,11.196896176599,300,11.196896176599,18456,11.353948153372,87,11.353948153372,18456,13.174383454234,371,13.174383454234,20456,14.293948117286,87,14.293948117286,21456,16.169562544627,442,16.169562544627,23456,16.209771614877,442,16.209771614877,23456,18.199034500611,513,18.199034500611,25456,18.157377320364,300,18.157377320364,25456,,,,
